SessionId	ItemId	Time
3	214716935	1396437466.94
3	214832672	1396438212.318
7	214826835	1396413533.104
7	214826715	1396413545.854
11	214821275	1396514675.672
11	214821275	1396514701.674
11	214821371	1396514729.873
11	214821371	1396514772.162
11	214821371	1396514817.355
11	214717089	1396515202.572
11	214563337	1396515229.875
11	214706462	1396515319.267
11	214743335	1396515390.52
11	214826837	1396515439.331
11	214819762	1396515459.433
12	214717867	1396427413.176
12	214717867	1396427592.621
14	214577732	1396339741.362
14	214587013	1396339874.773
14	214577732	1396339956.482
16	214684093	1396696081.626
16	214684093	1396696119.897
16	214684093	1396696853.092
18	214577732	1396322772.539
18	214577732	1396322792.156
23	214718203	1396590198.598
23	214718203	1396590544.634
23	214718203	1396590546.376
23	214718203	1396591008.356
22	214837485	1396740545.969
22	214837485	1396740636.821
22	214837485	1396740660.419
22	214837487	1396740711.443
22	214837487	1396740738.33
22	214821315	1396740918.266
22	214586711	1396740932.915
22	214821305	1396740992.105
22	214821307	1396741008.172
22	214844357	1396741028.202
22	214821341	1396741039.052
22	214821309	1396741050.7
22	214551617	1396741093.259
22	214551617	1396741298.028
22	214612920	1396741516.708
22	214837487	1396741671.889
24	214613743	1396730907.233
24	214613743	1396730908.756
24	214539110	1396730945.756
24	214539110	1396730946.722
29	214532036	1396453327.324
29	214700432	1396453644.821
28	214836789	1396704335.032
28	214836789	1396704431.668
31	214537967	1396334164.146
31	214537967	1396334297.758
39	214684721	1396380060.46
39	214680356	1396380104.551
37	214826769	1396621567.882
37	214537967	1396621603.356
43	214691587	1396677250.194
43	214587915	1396677358.886
46	214716932	1396498018.17
46	214716932	1396498039.921
46	214716932	1396498090.956
46	214716932	1396501574.731
46	214716932	1396501589.704
46	214716932	1396501604.157
47	214712235	1396444037.566
47	214581489	1396444057.654
47	214602605	1396444087.492
51	214545935	1396368331.791
51	214819438	1396368404.207
51	214839907	1396368450.896
51	214835917	1396368538.886
54	214819468	1396330387.173
54	214716977	1396330828.688
54	214716977	1396330906.683
54	214716977	1396330914.239
54	214716977	1396330936.709
54	214716939	1396330996.726
52	214716982	1396458553.273
52	214716984	1396459727.335
58	214515834	1396428443.796
58	214515830	1396428509.638
57	214717318	1396378255.024
57	214717318	1396378554.817
56	214832557	1396535503.555
56	214559660	1396535599.319
56	214559660	1396535775.132
56	214819520	1396535776.62
63	214587797	1396693265.172
63	214835775	1396693265.212
61	214709645	1396414813.748
61	214709645	1396414817.209
61	214709645	1396414886.344
61	214709645	1396414922.15
61	214709645	1396414925.171
68	214532072	1396418889.491
68	214532070	1396418901.022
71	214716984	1396520158.157
71	214832657	1396520224.891
64	214662975	1396461043.683
64	214537779	1396461164.743
64	214840762	1396461243.319
77	214832559	1396456234.579
77	214832559	1396456260.216
77	214832559	1396456383.555
77	214821017	1396456466.499
77	214821017	1396456496.444
77	214572234	1396456576.247
77	214826715	1396456775.227
77	214826715	1396456793.972
78	214509135	1396614480.684
78	214509133	1396614644.963
78	214509135	1396614689.66
78	214509135	1396614723.15
78	214509135	1396614919.399
78	214717877	1396615198.61
78	214826615	1396615231.139
78	214716982	1396615907.704
79	214819472	1396341930.931
79	214687685	1396342081.155
72	214821285	1396445663.334
72	214821285	1396445665.0
72	214826801	1396445677.701
72	214826801	1396445679.033
73	214826705	1396524946.173
73	214826705	1396525018.538
86	214717097	1396370027.089
86	214717097	1396370212.402
82	214684093	1396719253.085
82	214546097	1396719296.99
92	214717007	1396588312.265
92	214717003	1396588330.903
92	214716928	1396588386.319
94	214820842	1396441127.195
94	214819490	1396441297.901
88	214840599	1396630313.79
88	214835735	1396630697.937
