SessionId;Position;Recommendations;Scores
1;0;214820201,214826623,214839313,214696897,214821300,214536502,214561477,214836407,214827030,214819490,214709634,214664919,214708367,214642560,214718220,214709685,214705745,214829737,214844297,214821275,214650508,214685792,214821296,214556861,214639192,214533050,214836542,214668287,214638590,214685754,214838370,214512425,214663942,214819464,214717824,214685422,214552382,214552385,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214532567,214585695,214753513,214557416;1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;0;214744775,214826927,214695285,214667921,214667912,214826799,214587697,214600492,214821300,214662742,214826837,214712137,214577450,214717247,214709666,214577387,214819464,214532070,214586694,214827015,214650508,214839864,214640424,214821296,214639192,214533050,214836542,214717824,214677877,214638590,214668287,214838370,214685792,214512425,214663942,214832282,214696987,214685422,214691632,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691456,214685754,214559317,214716667;1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;1;214744775,214826927,214695285,214667921,214667912,214826799,214587697,214600492,214821300,214662742,214826837,214712137,214577450,214717247,214709666,214577387,214819464,214532070,214586694,214827015,214650508,214839864,214640424,214821296,214639192,214533050,214836542,214717824,214677877,214638590,214668287,214838370,214685792,214512425,214663942,214832282,214696987,214685422,214691632,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691456,214685754,214559317,214716667;1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;2;214821300,214821401,214826908,214826615,214827000,214825110,214826927,214644731,214826617,214821309,214757407,214757390,214826612,214711280,214717877,214821296,214663942,214512425,214838370,214668287,214638590,214650508,214836542,214819464,214717824,214677877,214640424,214533050,214839864,214639192,214552385,214685792,214685422,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214716667,214585695,214600492,214819509,214696987,214552382;1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;3;214826617,214757407,214644731,214826612,214825110,214826615,214717877,214668287,214821296,214639192,214533050,214836542,214650508,214638590,214838370,214685422,214512425,214663942,214819464,214717824,214677877,214640424,214839864,214586876,214564693,214685792,214832282,214685754,214552385,214709587,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214716667,214585695,214600492,214819509,214696987,214552382,214832670,214659013,214819723;1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;4;214601407,214821275,214826617,214684513,214757407,214820441,214757390,214753693,214826932,214737337,214826810,214826615,214717877,214840417,214825110,214842577,214691428,214644731,214630042,214826612,214533050,214836542,214639192,214832282,214650508,214638590,214838370,214512425,214663942,214819464,214717824,214677877,214640424,214668287,214685754,214821296,214691456,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214559317,214685792,214716667,214585695;1.0,1.0,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4;0;214836761,214836765,214662819,214839313,214839997,214836073,214535621,214601197,214836080,214826715,214841060,214829282,214839373,214711333,214585395,214826835,214840378,214821024,214833800,214718220,214821296,214639192,214533050,214836542,214638590,214650508,214685422,214668287,214838370,214512425,214663942,214819464,214717824,214685792,214819509,214685754,214691630,214709587,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691632,214552385,214691456,214559317,214716667;1.0,0.5306122448979592,0.1836734693877551,0.12244897959183673,0.10204081632653061,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;0;214838503,214712107,214821369,214613645,214696434,214509013,214819427,214836341,214559660,214832557,214821296,214820938,214819552,214508942,214829400,214553587,214832559,214701242,214821275,214581761,214639192,214712113,214552382,214552385,214685754,214685422,214685792,214554982,214533050,214819509,214836542,214650508,214826621,214843916,214638590,214668287,214842433,214696987,214600492,214512425,214585695,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765;1.0,0.6574074074074074,0.05555555555555555,0.046296296296296294,0.046296296296296294,0.037037037037037035,0.037037037037037035,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;1;214838503,214712107,214821369,214613645,214696434,214509013,214819427,214836341,214559660,214832557,214821296,214820938,214819552,214508942,214829400,214553587,214832559,214701242,214821275,214581761,214639192,214712113,214552382,214552385,214685754,214685422,214685792,214554982,214533050,214819509,214836542,214650508,214826621,214843916,214638590,214668287,214842433,214696987,214600492,214512425,214585695,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765;1.0,0.6574074074074074,0.05555555555555555,0.046296296296296294,0.046296296296296294,0.037037037037037035,0.037037037037037035,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;2;214838503,214712107,214821369,214613645,214696434,214509013,214819427,214836341,214559660,214832557,214821296,214820938,214819552,214508942,214829400,214553587,214832559,214701242,214821275,214581761,214639192,214712113,214552382,214552385,214685754,214685422,214685792,214554982,214533050,214819509,214836542,214650508,214826621,214843916,214638590,214668287,214842433,214696987,214600492,214512425,214585695,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765;1.0,0.6574074074074074,0.05555555555555555,0.046296296296296294,0.046296296296296294,0.037037037037037035,0.037037037037037035,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
