SessionId;Position;Recommendations;Scores
1;0;214642560,214819490,214699301,214536502,214709634,214821300,214826927,214681091,214596105,214820201,214596107,214596101,214712402,214709690,214584999,214709685,214601218,214829737,214705757,214596502,214709735,214820237,214710062,214596103,214596129,214596114,214676070,214699599,214820225,214596326,214711333,214709645,214706216,214820240,214531151,214580094,214709653,214579288,214589732,214827002,214662742,214586865,214826934,214820195,214547042,214717286,214827022,214553604,214714697,214717562;2.1961412,1.9960029,1.9551996,1.8748953,1.7729357,1.3229496,1.1742756,1.115618,1.101095,1.0908021,1.0686253,1.045669,0.9937875,0.97087234,0.95609903,0.9368653,0.9153404,0.90235204,0.88427705,0.8787815,0.8786813,0.8656274,0.8640867,0.85538006,0.84732825,0.83317983,0.83174175,0.82309425,0.819245,0.79688174,0.78857434,0.7858777,0.7775572,0.7576413,0.7500742,0.743198,0.72567564,0.7250949,0.7106997,0.7065492,0.70568883,0.68838286,0.68767214,0.6554884,0.6496986,0.63955,0.6371001,0.6287896,0.6144917,0.61167526
2;0;214662742,214821315,214800262,214577450,214744530,214826934,214842577,214842575,214698420,214826872,214837442,214842450,214844357,214515842,214838750,214743335,214640017,214826837,214677491,214544357,214717562,214821309,214826927,214821300,214819691,214531517,214821339,214696897,214543922,214695285,214586610,214609445,214821341,214531155,214820844,214714697,214676070,214820415,214553855,214553604,214537496,214716015,214701684,214825839,214586469,214709666,214843524,214557590,214677457,214658047;2.2223566,2.18915,2.0419972,1.9547372,1.9438431,1.7276008,1.6583786,1.3482406,1.3148179,1.2949215,1.2783132,1.241149,1.2340841,1.0890118,1.001426,0.99240506,0.9700815,0.9593662,0.9498169,0.9276526,0.9264657,0.9138364,0.91017234,0.90020496,0.8941814,0.8924762,0.87879425,0.87135845,0.8649118,0.8507719,0.8467997,0.84182906,0.83276576,0.82613504,0.7945294,0.7842504,0.78254914,0.74732494,0.74705386,0.73730886,0.73414433,0.72907436,0.72329026,0.71093327,0.70507145,0.7013716,0.6990175,0.6942421,0.68869114,0.6859511
2;1;214800262,214662742,214821315,214577450,214744530,214826934,214842577,214826872,214698420,214842450,214842575,214515842,214837442,214695285,214696897,214844357,214819691,214709666,214640017,214826837,214609445,214821341,214743335,214677491,214531517,214586610,214832381,214676070,214701684,214825839,214586469,214821309,214820415,214687852,214537496,214838750,214507492,214531155,214557590,214553604,214717562,214709735,214544357,214658047,214682923,214746397,214827017,214541525,214696430,214696432;2.488328,2.3677013,2.3203826,2.3041756,2.081966,1.9049337,1.7883506,1.6057322,1.5351008,1.3339587,1.3298013,1.3288461,1.2854654,1.2214962,1.2023921,1.1844445,1.1088763,1.0748568,1.052357,1.0516317,1.0468831,1.0459836,1.0411781,1.0239539,1.0233839,0.9840093,0.97137785,0.9343224,0.9188654,0.907235,0.8977299,0.8955259,0.88643146,0.88450825,0.88374174,0.88275427,0.88153315,0.8810048,0.8756993,0.8731336,0.8717304,0.8288641,0.82644707,0.823194,0.8204711,0.80699855,0.7946445,0.787604,0.78640383,0.7816063
2;2;214757390,214821401,214821309,214825110,214821341,214640017,214821315,214551617,214537496,214662742,214844357,214837487,214821313,214800262,214839386,214826872,214842577,214821339,214826932,214821305,214586694,214551626,214826837,214695285,214716902,214678880,214612738,214826908,214843903,214576500,214837442,214586711,214837483,214696897,214840766,214842450,214826934,214744530,214698420,214843374,214696970,214695540,214612721,214561472,214712289,214827017,214717286,214613912,214839791,214612697;2.4749236,2.1414468,1.9317248,1.9058306,1.3544533,1.3220481,1.27687,1.2459434,1.2453626,1.1646212,1.1599677,1.1483132,1.107417,1.081235,0.9961983,0.98363185,0.9824433,0.9818632,0.9438263,0.9310358,0.8581744,0.8523941,0.83326447,0.82509357,0.810898,0.80553365,0.80507374,0.8035872,0.80343413,0.7615317,0.7599208,0.7409682,0.7349428,0.72564435,0.7216352,0.7095753,0.7087091,0.69544095,0.68246144,0.68049616,0.6788421,0.67694813,0.66117585,0.65332663,0.63919115,0.6361026,0.6276962,0.62344694,0.6198985,0.6149391
2;3;214826617,214826612,214556025,214826621,214716626,214826615,214553844,214716902,214800262,214826872,214819374,214717286,214842575,214564380,214827015,214579288,214640017,214825110,214701309,214821401,214691471,214687852,214745317,214717877,214710062,214560615,214646169,214677718,214585554,214550370,214791682,214826837,214826876,214642560,214561775,214695285,214674427,214717412,214821339,214757390,214819562,214826932,214709735,214826904,214821300,214712120,214840764,214697137,214826822,214717410;2.5524418,1.6331758,1.5888133,1.3896592,1.2068591,1.1850802,1.1230997,0.9899326,0.9761056,0.9258001,0.9244635,0.8959344,0.85206676,0.8363378,0.8158423,0.79901135,0.7536068,0.74689186,0.7137462,0.712974,0.7108097,0.7020299,0.69637436,0.69380796,0.6707802,0.66908807,0.6379772,0.63483596,0.6284919,0.6236377,0.6103606,0.6076641,0.597816,0.5963176,0.595732,0.58790475,0.584082,0.5815978,0.5810031,0.5775427,0.56989753,0.55583036,0.55505073,0.54365176,0.53828436,0.53647727,0.5150024,0.5122713,0.5117402,0.5109372
2;4;214825110,214826617,214842450,214757407,214757390,214842575,214842577,214826612,214556025,214826621,214585554,214753515,214716015,214826615,214551613,214843565,214840775,214842452,214712126,214640017,214800262,214844040,214588779,214844019,214579288,214746395,214826904,214838390,214827015,214844004,214844002,214691233,214840764,214746427,214553735,214717410,214837487,214613925,214843481,214691336,214840845,214585532,214691355,214707930,214717286,214712124,214600931,214843905,214691681,214695521;2.4429836,2.4423509,2.4272888,2.267486,1.627642,1.5875921,1.5398395,1.4136267,1.3224016,1.279851,1.200714,1.1881678,1.1520811,1.1517155,1.1455446,1.1199332,1.1132381,1.0866226,1.081512,1.0774736,1.0615838,1.0411528,1.020325,1.0076473,0.9887207,0.97830087,0.9758529,0.96591866,0.95508516,0.9262234,0.9225241,0.9072737,0.88985187,0.88927364,0.8890508,0.8847705,0.87374324,0.867622,0.86674,0.8612423,0.8595699,0.8534894,0.850608,0.84689283,0.8420687,0.8388894,0.8314938,0.8158159,0.81313145,0.7960246
4;0;214836765,214836080,214836761,214836073,214662819,214832672,214531151,214632380,214839373,214560187,214515872,214550865,214840378,214838503,214737337,214676580,214552395,214690768,214601407,214640407,214841060,214550863,214836975,214510738,214826715,214836752,214602817,214843931,214587864,214530572,214687798,214839909,214691390,214601019,214691349,214546121,214826822,214677735,214678916,214836954,214552367,214761508,214695210,214600502,214677716,214684513,214699599,214571904,214575369,214612785;2.675941,2.1770058,2.1313882,1.9361517,1.8931834,1.8108423,1.6580156,1.3346237,1.2817463,1.1589453,1.1575028,1.1449983,1.0915526,1.0698508,1.0420651,1.0394406,0.9983755,0.99144006,0.9384683,0.9250504,0.8898835,0.84988046,0.839448,0.83632857,0.8206356,0.81208843,0.8101719,0.80861115,0.8022271,0.78939825,0.74936193,0.7462672,0.7444207,0.74030995,0.7349605,0.7206425,0.7170063,0.7164989,0.6985029,0.6922225,0.67264676,0.66678685,0.66492516,0.6611421,0.6500078,0.6446269,0.6408926,0.63006145,0.6222622,0.6222462
21;0;214838503,214586831,214712107,214613645,214821399,214706205,214553587,214633989,214523700,214843061,214581761,214842290,214509035,214819528,214841006,214829400,214819427,214836341,214612695,214510738,214596647,214819740,214685784,214508563,214696434,214800272,214712229,214710900,214688006,214695075,214539150,214840762,214553300,214530264,214819586,214576783,214545864,214718368,214674577,214717275,214684093,214535010,214639190,214554332,214840378,214639299,214683864,214826829,214842287,214510074;2.7038112,2.2305803,2.0730593,1.7917409,1.5511491,1.5205755,1.4669914,1.4489915,1.426132,1.4260867,1.4169987,1.3921245,1.3451154,1.2295748,1.1571177,1.1226902,1.1070167,1.0907233,1.0798777,1.0617082,0.94769657,0.90319383,0.8605246,0.830344,0.7962438,0.7941641,0.79338866,0.7685778,0.7554785,0.7482577,0.738925,0.7323321,0.729713,0.71326107,0.6979137,0.6944128,0.67305475,0.6699363,0.66476446,0.6636441,0.6607057,0.6599852,0.65736294,0.6556345,0.6180001,0.6059139,0.6038261,0.6020418,0.5981417,0.59627235
21;1;214838503,214586831,214712107,214613645,214706205,214843061,214633989,214581761,214553587,214821399,214819528,214612695,214523700,214842290,214509035,214829400,214819427,214553300,214841006,214596647,214836341,214688006,214712229,214530264,214696434,214800272,214510738,214819586,214585646,214539150,214695075,214710900,214554332,214685784,214540963,214535010,214826585,214639190,214839909,214832443,214833800,214576783,214711592,214508563,214840762,214683864,214842287,214826829,214718368,214609442;2.9138305,2.4289644,2.3889427,1.9751635,1.6960038,1.5887195,1.5401816,1.5016452,1.4903517,1.4755845,1.4719838,1.4613051,1.4454856,1.3789763,1.3115498,1.2956787,1.2614607,1.2080941,1.1449431,1.0587394,1.0401496,1.0103465,0.97744155,0.95892364,0.9327738,0.91223675,0.9074994,0.8829725,0.87257874,0.8703662,0.86999935,0.8547526,0.8424216,0.83100474,0.82485586,0.8079331,0.77404314,0.7632089,0.753867,0.7523866,0.7166446,0.709968,0.70067924,0.693481,0.6807193,0.67599195,0.6590824,0.6529939,0.6450876,0.6388374
21;2;214838503,214586831,214712107,214613645,214706205,214843061,214633989,214581761,214612695,214553587,214819528,214821399,214523700,214819427,214842290,214509035,214829400,214553300,214596647,214688006,214696434,214836341,214841006,214510738,214530264,214712229,214685784,214819586,214585646,214540963,214800272,214826585,214554332,214695075,214710900,214539150,214832443,214535010,214683864,214639190,214696708,214711592,214839909,214842287,214833800,214840762,214586940,214674577,214826829,214674568;2.9324977,2.4181042,2.4016044,1.8854338,1.7904499,1.6990339,1.6051873,1.5390797,1.5255848,1.5032353,1.4972917,1.4962281,1.4302411,1.3287076,1.3230736,1.3196853,1.2431505,1.2260711,1.1087799,1.0913838,1.0330393,1.0087148,0.9951675,0.9932323,0.98610693,0.9770305,0.92180705,0.9170869,0.9132811,0.90755767,0.8873824,0.88285965,0.8724571,0.8646273,0.8591558,0.85199904,0.8478906,0.75578946,0.72958606,0.72795254,0.7264935,0.7122087,0.7066459,0.7060671,0.7031673,0.6959196,0.6754683,0.66350603,0.66085106,0.64717925
