SessionId;Position;Recommendations;Scores
1;0;214821300,214709634,214642560,214819490,214536502,214696897,214838370,214821296,214639192,214533050,214836542,214650508,214638590,214668287,214663942,214512425,214685422,214819464,214717824,214677877,214640424,214839864,214586876,214564693,214659013,214685792,214552385,214685754,214691630,214709587,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691632,214748302,214691456,214559317,214716667,214585695,214600492,214819509,214696987,214552382,214832670,214832282,214819723;1.0,0.8,0.8,0.8,0.8,0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;0;214577450,214821315,214744530,214662742,214800262,214826934,214695285,214826837,214842577,214709666,214826799,214717247,214577387,214686902,214586694,214600492,214587697,214667921,214687565,214714755,214586876,214587765,214650508,214638590,214668287,214838370,214512425,214659013,214839864,214663942,214564693,214819464,214717824,214836542,214640424,214677877,214691630,214533050,214696987,214691456,214559317,214821026,214716667,214585695,214587763,214819509,214552382,214639192,214552385,214685754;1.0,0.8,0.8,0.8,0.8,0.8,0.28888888888888886,0.28888888888888886,0.2,0.1388888888888889,0.08888888888888888,0.082,0.05422222222222221,0.05,0.03854875283446711,0.028826530612244893,0.022376543209876542,0.017876543209876545,0.014611570247933886,0.012167125803489439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;1;214577450,214821315,214744530,214662742,214800262,214826934,214695285,214826837,214842577,214709666,214826799,214717247,214577387,214686902,214586694,214600492,214587697,214667921,214687565,214714755,214586876,214587765,214650508,214638590,214668287,214838370,214512425,214659013,214839864,214663942,214564693,214819464,214717824,214836542,214640424,214677877,214691630,214533050,214696987,214691456,214559317,214821026,214716667,214585695,214587763,214819509,214552382,214639192,214552385,214685754;1.0,0.8,0.8,0.8,0.8,0.8,0.28888888888888886,0.28888888888888886,0.2,0.1388888888888889,0.08888888888888888,0.082,0.05422222222222221,0.05,0.03854875283446711,0.028826530612244893,0.022376543209876542,0.017876543209876545,0.014611570247933886,0.012167125803489439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;2;214821401,214757390,214821309,214825110,214826908,214826617,214826612,214826615,214717877,214838370,214639192,214533050,214836542,214650508,214638590,214668287,214832282,214821296,214663942,214819464,214717824,214677877,214640424,214839864,214586876,214564693,214512425,214685422,214685792,214832670,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214716667,214585695,214600492,214819509,214696987,214552382,214552385,214685754,214659013;1.0,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.17137931034482756,0.15517241379310345,0.06896551724137931,0.03879310344827586,0.02482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;3;214826617,214826612,214826615,214717877,214685754,214685792,214821296,214639192,214533050,214836542,214650508,214638590,214668287,214838370,214512425,214663942,214819464,214717824,214677877,214640424,214839864,214586876,214564693,214685422,214832282,214552385,214832670,214556861,214709587,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214716667,214585695,214600492,214819509,214696987,214552382,214659013,214819723,214748302,214702828;1.0,0.25,0.1111111111111111,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;4;214826617,214825110,214842450,214757407,214826932,214757390,214842577,214826612,214826615,214717877,214663942,214717824,214639192,214533050,214586876,214839864,214640424,214677877,214836542,214512425,214650508,214638590,214668287,214819464,214685792,214838370,214821296,214832282,214685422,214685754,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214716667,214585695,214600492,214819509,214696987,214552382,214552385,214659013,214564693;1.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.22499999999999998,0.22499999999999998,0.09999999999999999,0.056249999999999994,0.036,0.024999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4;0;214836761,214836765,214662819,214839373,214826715,214836073,214836080,214531151,214676580,214838503,214691390,214832672,214560187,214840378,214532036,214821275,214585395,214835072,214833800,214536440,214556861,214639192,214821296,214685792,214685422,214533050,214650508,214836542,214552385,214638590,214668287,214838370,214512425,214663942,214819464,214717824,214685754,214600492,214552382,214696987,214557416,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456;1.0,0.7033366300112921,0.30259831756299777,0.26170665302745755,0.17810591664368638,0.17810591664368638,0.13608745957427792,0.13085332651372877,0.13085332651372877,0.13085332651372877,0.13085332651372877,0.13085332651372877,0.13085332651372877,0.13085332651372877,0.03271333162843219,0.03271333162843219,0.03271333162843219,0.03271333162843219,0.03271333162843219,0.014539258501525418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;0;214838503,214712107,214696434,214819427,214826955,214613645,214819552,214829400,214800272,214510738,214523700,214685784,214819528,214826829,214842290,214840762,214508942,214545935,214586831,214843061,214512425,214685422,214685792,214821296,214639192,214533050,214638590,214838370,214668287,214836542,214650508,214685754,214600492,214552385,214587763,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765,214821026,214552382,214691630,214691632,214691456,214559317;1.0,0.4411021020824259,0.045257001648456,0.041982055865174964,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.0369560350925836,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;1;214838503,214712107,214696434,214819427,214826955,214613645,214819552,214829400,214800272,214510738,214523700,214685784,214819528,214826829,214842290,214840762,214508942,214545935,214586831,214843061,214512425,214685422,214685792,214821296,214639192,214533050,214638590,214838370,214668287,214836542,214650508,214685754,214600492,214552385,214587763,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765,214821026,214552382,214691630,214691632,214691456,214559317;1.0,0.4411021020824259,0.045257001648456,0.041982055865174964,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.0369560350925836,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;2;214838503,214712107,214696434,214819427,214826955,214613645,214819552,214829400,214800272,214510738,214523700,214685784,214819528,214826829,214842290,214840762,214508942,214545935,214586831,214843061,214512425,214685422,214685792,214821296,214639192,214533050,214638590,214838370,214668287,214836542,214650508,214685754,214600492,214552385,214587763,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765,214821026,214552382,214691630,214691632,214691456,214559317;1.0,0.4411021020824259,0.045257001648456,0.041982055865174964,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.0369560350925836,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;3;214838503,214712107,214696434,214819427,214826955,214613645,214819552,214829400,214800272,214510738,214523700,214685784,214819528,214826829,214842290,214840762,214508942,214545935,214586831,214843061,214512425,214685422,214685792,214821296,214639192,214533050,214638590,214838370,214668287,214836542,214650508,214685754,214600492,214552385,214587763,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765,214821026,214552382,214691630,214691632,214691456,214559317;1.0,0.4411021020824259,0.045257001648456,0.041982055865174964,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.0369560350925836,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21;4;214838503,214712107,214696434,214819427,214826955,214613645,214819552,214829400,214800272,214510738,214523700,214685784,214819528,214826829,214842290,214840762,214508942,214545935,214586831,214843061,214512425,214685422,214685792,214821296,214639192,214533050,214638590,214838370,214668287,214836542,214650508,214685754,214600492,214552385,214587763,214583846,214548103,214556861,214709587,214557416,214753513,214532567,214547042,214587765,214821026,214552382,214691630,214691632,214691456,214559317;1.0,0.4411021020824259,0.045257001648456,0.041982055865174964,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.04157553947915654,0.0369560350925836,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.033260431583325235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27;0;214827028,214820415,214612760,214748293,214840775,214769006,214820252,214584962,214838750,214843520,214827024,214686009,214546102,214577495,214842577,214843487,214838441,214601040,214717888,214832557,214600492,214821026,214650508,214638590,214587763,214587765,214668287,214838370,214512425,214547042,214663942,214819464,214532567,214717824,214753513,214677877,214836542,214533050,214585695,214640424,214819509,214696987,214552382,214716667,214559317,214691456,214552385,214639192,214691632,214685754;1.0,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0261437908496732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27;1;214827017,214821341,214839373,214554785,214820415,214551617,214585395,214551624,214827020,214546772,214684513,214706216,214639916,214820413,214829312,214826803,214827030,214821298,214826705,214595893,214691456,214668287,214821296,214639192,214533050,214836542,214650508,214638590,214838370,214685792,214512425,214557416,214663942,214819464,214709587,214717824,214753513,214532567,214559317,214696987,214716667,214691632,214585695,214600492,214691630,214677877,214821026,214685422,214552382,214552385;1.0,0.15625,0.15625,0.125,0.125,0.125,0.04513888888888889,0.04513888888888889,0.03125,0.03125,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0078125,0.0078125,0.005,0.005,0.003472222222222222,0.003472222222222222,0.002551020408163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27;2;214840762,214842380,214718366,214639372,214842268,214842266,214842352,214842285,214842281,214512425,214836542,214650508,214564693,214638590,214668287,214838370,214663942,214586876,214819464,214717824,214677877,214639192,214640424,214839864,214533050,214685792,214821296,214832670,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214716667,214585695,214600492,214819509,214696987,214552382,214552385,214685754,214685422,214659013,214748302,214709587;1.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.04938271604938271,0.04938271604938271,0.027777777777777776,0.017777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27;3;214840762,214586983,214639372,214508942,214842345,214842399,214842296,214591470,214716930,214535006,214581761,214536697,214840757,214639370,214571276,214668590,214716935,214589128,214840760,214509013,214639192,214677877,214836542,214839864,214650508,214640424,214638590,214717824,214668287,214819464,214663942,214512425,214838370,214533050,214552385,214821296,214685792,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214691456,214559317,214716667,214585695,214600492;1.0,0.6248987026827947,0.20892473950724724,0.1337501244491795,0.08313965743316118,0.06133981651910814,0.052340184081382087,0.04904964205661936,0.04442231733429678,0.04236572856882008,0.040232017724638,0.03575996545410891,0.02961487822286452,0.027352630580840146,0.025605558424567687,0.023856429679529754,0.023856429679529754,0.022725305858517567,0.021080034846136204,0.020456762536598876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27;4;214585532,214585670,214707930,214552543,214832557,214685857,214717877,214820405,214826617,214819427,214711678,214646169,214753513,214748302,214532072,214668287,214639192,214533050,214836542,214650508,214638590,214839864,214838370,214512425,214663942,214685792,214819464,214717824,214677877,214640424,214821296,214832282,214685422,214691456,214557416,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214559317,214685754,214716667,214585695,214600492,214819509,214696987,214564693;1.0,0.8648648648648649,0.6966966966966968,0.5405405405405406,0.5405405405405406,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.10810810810810811,0.04804804804804805,0.04804804804804805,0.04804804804804805,0.04432432432432433,0.012012012012012012,0.008825151682294538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27;5;214585532,214585670,214707930,214552543,214832557,214685857,214717877,214820405,214826617,214819427,214711678,214646169,214753513,214748302,214532072,214668287,214639192,214533050,214836542,214650508,214638590,214839864,214838370,214512425,214663942,214685792,214819464,214717824,214677877,214640424,214821296,214832282,214685422,214691456,214557416,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214559317,214685754,214716667,214585695,214600492,214819509,214696987,214564693;1.0,0.8648648648648649,0.6966966966966968,0.5405405405405406,0.5405405405405406,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.10810810810810811,0.04804804804804805,0.04804804804804805,0.04804804804804805,0.04432432432432433,0.012012012012012012,0.008825151682294538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27;6;214536197,214536185,214585670,214650635,214819571,214585644,214811758,214819393,214819586,214811739,214587005,214838244,214561496,214602358,214842352,214639372,214663942,214586876,214533050,214839864,214836542,214650508,214638590,214819464,214668287,214640424,214838370,214677877,214717824,214512425,214639192,214685754,214821296,214691456,214753513,214532567,214547042,214587765,214587763,214821026,214691630,214691632,214559317,214685792,214716667,214585695,214600492,214819509,214696987,214552382;1.0,0.6287234447092227,0.5019018404907976,0.4969325153374233,0.4969325153374233,0.20301792323683004,0.19962835268468285,0.126467775760611,0.12423312883435582,0.10793711656441717,0.05521472392638036,0.05093558282208589,0.034495293132590456,0.033998711293425785,0.01380368098159509,0.010141479904845372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
