SessionId;Position;Recommendations;Scores
1;0;214536502,214820201,214826623,214696897,214705745,214709653,214642560,214836407,214708367,214829741,214561477,214844297,214709685,214826900,214664919,214709634,214819490,214821300,214827030,214829737,214821275,214718220,214839313,214691630,214638590,214557416,214639192,214533050,214836542,214650508,214668287,214685792,214838370,214512425,214663942,214709587,214819464,214556861,214821296,214685422,214691632,214600492,214691456,214821026,214559317,214587763,214587765,214585695,214547042,214685754;1.0,0.17468137562404298,0.1090097858661836,0.08599548259656561,0.08412741541486725,0.08250922201755055,0.07631880764897828,0.07544239338595325,0.07181603356803053,0.07181603356803053,0.07140519933645297,0.0679189387574379,0.06473949074818244,0.06395010342429476,0.06373369679510792,0.0626079686429538,0.06231827080303525,0.06212891618188757,0.061758858445239706,0.06046384284527969,0.058091722132387294,0.05533382790356755,0.04086208977829548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2;0;214662742,214827015,214826927,214826837,214826925,214821300,214826799,214553540,214667921,214695285,214714755,214577387,214705655,214586694,214574672,214687565,214587697,214686902,214600492,214709666,214698420,214746427,214712137,214696897,214676019,214842577,214561402,214553604,214577450,214819464,214684845,214826934,214667912,214717247,214819781,214800262,214820392,214821315,214558192,214743335,214668590,214744775,214834865,214744530,214827007,214826912,214532070,214828987,214532072,214718220;1.0,0.2135728972999617,0.1779331855301127,0.17176846397159398,0.16851180864281015,0.16454442724787124,0.14502275806814316,0.13443248624429205,0.13150668734617776,0.12903295962514993,0.12903295962514993,0.125,0.125,0.125,0.12330923075670754,0.12177974393159385,0.12177974393159385,0.12177974393159385,0.12038343185859325,0.11909894926623595,0.11909894926623595,0.11680254341052976,0.11680254341052976,0.11387674451241545,0.11387674451241545,0.11300910264275194,0.1114030167913876,0.11065648844400931,0.1086050868210595,0.10414980109783155,0.10414980109783155,0.10275348902483093,0.10188584715516738,0.10188584715516738,0.10146900643247363,0.09990215645769795,0.09780603358277522,0.09685243829106686,0.09537915980898962,0.09429077903205575,0.09140888567577693,0.0901413218678339,0.08752315153768044,0.08557561736815503,0.08303652309837467,0.08264981847004076,0.07881620880636936,0.07719580125344716,0.07683718374798802,0.07327403710994673
2;1;214662742,214827015,214826927,214826837,214826925,214821300,214826799,214553540,214667921,214695285,214714755,214577387,214705655,214586694,214574672,214687565,214587697,214686902,214600492,214709666,214698420,214746427,214712137,214696897,214676019,214842577,214561402,214553604,214577450,214819464,214684845,214826934,214667912,214717247,214819781,214800262,214820392,214821315,214558192,214743335,214668590,214744775,214834865,214744530,214827007,214826912,214532070,214828987,214532072,214718220;1.0,0.2135728972999617,0.1779331855301127,0.17176846397159398,0.16851180864281015,0.16454442724787124,0.14502275806814316,0.13443248624429205,0.13150668734617776,0.12903295962514993,0.12903295962514993,0.125,0.125,0.125,0.12330923075670754,0.12177974393159385,0.12177974393159385,0.12177974393159385,0.12038343185859325,0.11909894926623595,0.11909894926623595,0.11680254341052976,0.11680254341052976,0.11387674451241545,0.11387674451241545,0.11300910264275194,0.1114030167913876,0.11065648844400931,0.1086050868210595,0.10414980109783155,0.10414980109783155,0.10275348902483093,0.10188584715516738,0.10188584715516738,0.10146900643247363,0.09990215645769795,0.09780603358277522,0.09685243829106686,0.09537915980898962,0.09429077903205575,0.09140888567577693,0.0901413218678339,0.08752315153768044,0.08557561736815503,0.08303652309837467,0.08264981847004076,0.07881620880636936,0.07719580125344716,0.07683718374798802,0.07327403710994673
2;2;214825110,214662742,214826615,214757390,214757407,214644731,214826927,214821300,214711280,214821401,214826612,214717877,214826617,214826908,214827000,214821309,214827015,214826837,214826925,214826799,214553540,214667921,214714755,214695285,214705655,214577387,214586694,214574672,214687565,214686902,214587697,214600492,214698420,214709666,214746427,214712137,214676019,214696897,214842577,214561402,214553604,214577450,214819464,214684845,214826934,214717247,214667912,214819781,214800262,214820392;1.0,0.4132598980175033,0.3160532271996645,0.29803042803266094,0.24455898090585507,0.2399586648101374,0.2389811128448376,0.22099874297736227,0.2172141323010924,0.19652855287319418,0.18188690158761386,0.18128399253944094,0.16878842719357312,0.16374268517428656,0.16030146555845484,0.15417884789695663,0.08826111375748488,0.07098501790352413,0.06963917285447274,0.05993209020945791,0.05555555555555555,0.05434644020130112,0.05332414773558608,0.05332414773558608,0.05165748725218791,0.05165748725218791,0.05165748725218791,0.05095876012713374,0.05032668455776814,0.05032668455776814,0.05032668455776814,0.04974964477287929,0.04921881962775647,0.04921881962775647,0.04826980717802053,0.04826980717802053,0.04706069182376609,0.04706069182376609,0.04670213023319323,0.04603839935805105,0.04572988912934633,0.04488212710385315,0.043040936180233115,0.043040936180233115,0.04246389639534427,0.042105334804771404,0.042105334804771404,0.04193307125022144,0.041285554989436916,0.040419311463914184
2;3;214825110,214757390,214757407,214644731,214826615,214826612,214717877,214826617,214662742,214826927,214821300,214711280,214821401,214826908,214827000,214821309,214827015,214826837,214826925,214826799,214553540,214667921,214714755,214695285,214705655,214577387,214586694,214574672,214687565,214686902,214587697,214600492,214698420,214709666,214746427,214712137,214676019,214696897,214842577,214561402,214553604,214577450,214819464,214684845,214826934,214717247,214667912,214819781,214800262,214820392;1.0,0.7741050078770412,0.635218132223,0.62326925924711,0.4843413092150702,0.4724335106171788,0.47086751308945696,0.43841149920408595,0.25761655980311887,0.12319106316477138,0.11392142994637253,0.10155465925765356,0.09188347926538948,0.07655502163992615,0.07494613974161522,0.0720836171985771,0.05501991506960096,0.044250400771028015,0.04341143242876223,0.03736026402667504,0.03463203463203462,0.03387830038522667,0.03324102715984586,0.03324102715984586,0.032202069975389866,0.032202069975389866,0.032202069975389866,0.031766499819511934,0.03137247868536195,0.03137247868536195,0.03137247868536195,0.031012765572703976,0.030681861586133896,0.030681861586133896,0.03009026940967513,0.03009026940967513,0.02933653516286717,0.02933653516286717,0.029113016249263303,0.028699261937486367,0.02850694387283926,0.027978468843960397,0.02683071346300246,0.02683071346300246,0.026471000350344477,0.026247481436740605,0.026247481436740605,0.026140096363774394,0.02573644986354508,0.025196453899582867
2;4;214757407,214757390,214825110,214826617,214644731,214826612,214717877,214826615,214842577,214753693,214651427,214842450,214737337,214826932,214840417,214601407,214827000,214834865,214826925,214630042,214820413,214827007,214691428,214827005,214820441,214821275,214684513,214826810,214662742,214826927,214821300,214711280,214821401,214826908,214821309,214827015,214826837,214826799,214553540,214667921,214695285,214714755,214577387,214705655,214586694,214574672,214687565,214587697,214686902,214600492;1.0,0.40621479384202225,0.4020843273434621,0.34508736209231583,0.3270631129844725,0.24791143212692276,0.24708966846901126,0.2283133088459423,0.14895245902220144,0.1432235182905783,0.1360768025476873,0.13199557021216718,0.12966869720427998,0.12859803112187868,0.12808311858633378,0.12354483423450563,0.12235469794134166,0.11536051820641913,0.11532541107913255,0.1137332710899127,0.10965203875439254,0.10944688538282112,0.10924526601905504,0.10573958712855917,0.09938652365580906,0.0974932544673544,0.07671495349296796,0.07635212597318142,0.05069450688174783,0.022550587745869016,0.020853746498676152,0.01776374202219224,0.01607207816660386,0.013390854391670908,0.012608725087573783,0.01082697271192773,0.008707717578875222,0.007351857206895533,0.006814988599041733,0.006666666666666669,0.006541262259689451,0.006541262259689451,0.006336813360218478,0.006336813360218478,0.006336813360218478,0.0062511006471789405,0.006173564066797672,0.006173564066797672,0.006173564066797672,0.006102778714803874
4;0;214836765,214836761,214662819,214836073,214836080,214535621,214841060,214839780,214839373,214718220,214585395,214826835,214833800,214537715,214640477,214821024,214839729,214844150,214836752,214587956,214532036,214537747,214839733,214839695,214839731,214691681,214835072,214832672,214531151,214718377,214560187,214711333,214839313,214718398,214743350,214820218,214676580,214838100,214536440,214820240,214601197,214839997,214820413,214838503,214840378,214717888,214821275,214826715,214819547,214691390;1.0,0.370225875558762,0.15519946133361942,0.09066462136154986,0.08601550960835502,0.07728546678283942,0.06515681984421978,0.05328001971761628,0.053251900647853005,0.05235524146277014,0.05070428743622261,0.049655465309297625,0.04757162822109915,0.04698160932259818,0.04698160932259818,0.04648791082813838,0.046097854194207824,0.046097854194207824,0.04533231068077493,0.04533231068077493,0.04465705344600075,0.04465705344600075,0.044053015266300226,0.043506596267147785,0.043506596267147785,0.042548865141958644,0.04135845616235426,0.04135845616235426,0.04068319892758008,0.04007916074787955,0.04007916074787955,0.039532741748727104,0.03866250823536683,0.03687084974289177,0.034491951656516785,0.03341074712551291,0.03306318251861634,0.03242551925597432,0.03235057622531866,0.03192039498666902,0.03165055411312939,0.03152025168130332,0.03090977547711159,0.030358094375518188,0.0280160329579703,0.027981181420813638,0.027482339957843365,0.02714227444973603,0.02696494917365372,0.026736737543495596
21;0;214838503,214712107,214581761,214837498,214508942,214636498,214553587,214510738,214640893,214559660,214551594,214836407,214509013,214832559,214832557,214537850,214717888,214587557,214553300,214819552,214586831,214838837,214840762,214706169,214835638,214553257,214636753,214540963,214642672,214712229,214537888,214696708,214687946,214821024,214545939,214546110,214836341,214688006,214650635,214534907,214711592,214819571,214676985,214695075,214688004,214838263,214710050,214843061,214537925,214587909;1.0,0.20171578145080513,0.049343856125538405,0.041631894897658187,0.04049846439838458,0.03585140792640859,0.03585140792640859,0.033633503970677096,0.03289590408369227,0.03272742423042272,0.03225376316434102,0.030938325950011055,0.0296255772289591,0.029525493000492346,0.02843836594720702,0.024815142912319642,0.02425537223735992,0.023092783175040803,0.023092783175040803,0.022963103734937956,0.02208526731598074,0.02208526731598074,0.0220725300281779,0.02137042343776197,0.02137042343776197,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020362907578701905,0.020362907578701905,0.020362907578701905,0.020148927322184946,0.01997986782631606,0.01997986782631606,0.01997986782631606,0.01997986782631606,0.019648063700483134,0.019648063700483134,0.019648063700483134,0.019648063700483134,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.01909358771155026
21;1;214838503,214712107,214581761,214837498,214508942,214636498,214553587,214510738,214640893,214559660,214551594,214836407,214509013,214832559,214832557,214537850,214717888,214587557,214553300,214819552,214586831,214838837,214840762,214706169,214835638,214553257,214636753,214540963,214642672,214712229,214537888,214696708,214687946,214821024,214545939,214546110,214836341,214688006,214650635,214534907,214711592,214819571,214676985,214695075,214688004,214838263,214710050,214843061,214537925,214587909;1.0,0.20171578145080513,0.049343856125538405,0.041631894897658187,0.04049846439838458,0.03585140792640859,0.03585140792640859,0.033633503970677096,0.03289590408369227,0.03272742423042272,0.03225376316434102,0.030938325950011055,0.0296255772289591,0.029525493000492346,0.02843836594720702,0.024815142912319642,0.02425537223735992,0.023092783175040803,0.023092783175040803,0.022963103734937956,0.02208526731598074,0.02208526731598074,0.0220725300281779,0.02137042343776197,0.02137042343776197,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020362907578701905,0.020362907578701905,0.020362907578701905,0.020148927322184946,0.01997986782631606,0.01997986782631606,0.01997986782631606,0.01997986782631606,0.019648063700483134,0.019648063700483134,0.019648063700483134,0.019648063700483134,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.01909358771155026
21;2;214838503,214712107,214581761,214837498,214508942,214636498,214553587,214510738,214640893,214559660,214551594,214836407,214509013,214832559,214832557,214537850,214717888,214587557,214553300,214819552,214586831,214838837,214840762,214706169,214835638,214553257,214636753,214540963,214642672,214712229,214537888,214696708,214687946,214821024,214545939,214546110,214836341,214688006,214650635,214534907,214711592,214819571,214676985,214695075,214688004,214838263,214710050,214843061,214537925,214587909;1.0,0.20171578145080513,0.049343856125538405,0.041631894897658187,0.04049846439838458,0.03585140792640859,0.03585140792640859,0.033633503970677096,0.03289590408369227,0.03272742423042272,0.03225376316434102,0.030938325950011055,0.0296255772289591,0.029525493000492346,0.02843836594720702,0.024815142912319642,0.02425537223735992,0.023092783175040803,0.023092783175040803,0.022963103734937956,0.02208526731598074,0.02208526731598074,0.0220725300281779,0.02137042343776197,0.02137042343776197,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020815947448829093,0.020362907578701905,0.020362907578701905,0.020362907578701905,0.020148927322184946,0.01997986782631606,0.01997986782631606,0.01997986782631606,0.01997986782631606,0.019648063700483134,0.019648063700483134,0.019648063700483134,0.019648063700483134,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.019355391719641842,0.01909358771155026
